oggetto,persona/luogo/animale,azione,difficile,miscellanea
pubblico,cratere,ruggire,dente del giudizio,poster
lattuga,pescatore,slatare,ponte coperto,coriandolo
lettera,membro del parlamento,ascoltare,passaggio segreto,brivido
ruota di scorta,cobra,suonare,perle ai porci,autostop
bacchette cinesi,pilota,fare a braccio di ferro,coppia felice,recinto
forbicine,asino,mentire,gatta da pelare,bracciata
forchetta,attico,leccare,ricominciare da zero,gelato
fiamma,toscana,vestirsi,pasto completo,polizia
martello,dittatore,volteggiare,a buon mercato,bandiera
inchiostro,ballerino,tingere,rompere il ghiaccio,vite
letto a baldacchino,lago,guidare,alla fine della fiera,fiocco
balestra,balena,separare,spaccare il capello in quattro,autunno
autostrada,roberto benigni,chiamare,fame da lupi,pastasciutta
cerniera,cappuccetto rosso,fluttuare,vento in poppa,scia
annaffiatoio,fenicottero,mimare,mani pulite,classe
tamburo,milano,raffreddare,strisce pedonali,bottino
pianoforte,struzzo,restituire,al settimo cielo,onda
radio,stonehenge,pensare,dalle stelle alle stalle,multa
rampa,lady d,cucire,corsa all'oro,cintura
bambola,il duomo di milano,rabbrividire,spese bancarie,neve
fungo,sogliola,giocare,orecchie da mercante,fendinebbia
torta salata,delfino,incidere,storcere il naso,halloween
mutandine,gabbiano,scagliare,sedia elettrica,stella
pennello,grand canyon,solleticare,volare basso,pepita
motore,enoteca,salvare,tagliarsi le unghie,foglia
gancio,cameriere,gioire,punta dell'iceberg,fungo
fuochi d'artificio,postino,scadere,macchina del tempo,noce di cocco
contrabbasso,pony,evidenziare,puntini sulle i,palpebra
pugnale,europa,recitare,stella filante,equatore
loggione,dinosauro,girare,in breve,ingessatura
impronte digitali,infermiera,combattere,latin lover,riva
laccio da scarpe,oca,spaventare,senza tetto,elettricità
spazzolino da denti,pub,germogliare,luna piena,tarantella
lana,dracula,dividere,chi dorme non piglia pesci,vergogna
amo,banca,spingere,x factor,scala
mappamondo,re,partire,consegna a domicilio,polenta
temperamatite,pollo,raggiungere,dieta a zone,matrimonio
taxi,stazione ferroviaria,spolverare,bastoni fra le ruote,smoking
righello,braccio di ferro,votare,ballando con le stelle,farina
rosa,rinoceronte,parlare,guerre stellari,mezzanotte
motore,cavaliere,presentare,limite di velocità,fotografia
scarponi da sci,cupido,bilanciare,lotteria nazionale,quadrifoglio
dente finto,basilica di san pietro,rompere,la volpe e l'uva,inondazione
trampolino,parco divertimenti,indicare,stare nel mezzo,unghia
lattice,chitarrista,raccogliere,rovescio della medaglia,cena
tromba,sceriffo,ammassare,mettere le mani avanti,pupazzo di neve
spazzola,unicorno,prendere a pugni,cercapersone,dente
camino,mercato delle pulci,abbronzarsi,partita di calcio,poker
sottotitoli,miniera di carbone,abbracciare,fuso orario,fondale
barattolo dei biscotti,poliziotto,palleggiare,farina del mio sacco,lancio
freno a mano,fossato,pettinare,fuori onda,universo
distintivo,la grande muraglia,ammucchiare,cavallo di battaglia,muscolo
cappello di paglia,sherlock holmes,fuggire,lacrime di coccodrillo,cactus
jet,vongola,pescare,cuore spezzato,totem
sgabello,peter pan,socchiudere,non c'è trippa per gatti,lezione
cometa,spagna,compilare,altro paio di maniche,bugia
kayak,parigi,assaggiare,a cuor leggero,fianco
dentifricio,villaggio,annoiarsi,cose di famiglia,festa
rivista,cigno,scrivere,due di picche,ciliegia
asta,mucca,restringere,in bocca al lupo,yogurt
mandorla,biancaneve,visitare,paperella di gomma,palato
ombrello,prete,tessere,pranzo della domenica,carota
scala a pioli,convento,sudare,rotto della cuffia,maneggio
razzo,botteghino,eruttare,partire in quarta,dicembre
ciliegia,monte bianco,intingere,non vedere l'ora,polmone
lecca lecca,primo ministro,benedire,parole crociate,fondamenta
costume,lupo mannaro,tagliare,prendere per oro colato,gomitata
infradito,foca,corteggiare,olio bollente,anulare
coda,africa,scivolare,bus a due piani,pisolino
vulcano,cleopatra,rompere,pecora nera,indirizzo
ghigliottina,panda,giocare d'azzardo,cadere dalle nuvole,accelleratore
flauto,babbo natale,trascinare,ora di punta,camminata
vena,generale,ripetere,insalata di mare,spremuta d'arancia
tazzina da caffè,gufo,seppellire,purosangue,libreria
diametro,marinaio,invertire,maschera da scherma,fermata
coriandoli,stazione radio,ammaccare,contare le pecore,forcone
violino,gigante,sollevare,pozzo di scienza,tosse
paralume,tigre,rimbalzare,pallone gonfiato,gemelli
latte,garibaldi,galleggiare,alzare i tacchi,principe
stufa,cantante,decorare,fuoristrada,sforzo
garofano,serpente,cucinare,3d,dozzina
bacchetta da batteria,cinema,misurare,crisi finanziaria,inizio
molo,portiere,strapazzare,senza capo né coda,sfinge
ambulanza,sarto,volare,raccolta differenziata,luna
film,dj,bollire,prima visione,spazzatura
megafono,prigione,striare,strada chiusa,saluto
pertica,papera,toccare,promessa da marinaio,modulo
tagliaerba,orso polare,iniettare,barriera del suono,pianeta
antenna,tartaruga,giudicare,buco nell'acqua,pasticcino
binocolo,papa,pungere,brutto anatroccolo,teschio
tastiera,agente immobiliare,colpire,aria condizionata,capriola
papillon,shakespeare,intervistare,scenza muta,conferenza
cantina,sindaco,russare,spazio vitale,merendina
cartellina,dart fener,macinare,acqua in bocca,carciofo
calcolatrice,new york,sparare,compagno di banco,campione
pomello,tarantola,cantare,carta canta,alluce
doppia striscia continua,rana,aiutare,influenza suina,affare
sfera di cristallo,igloo,infilare,tempo supplementare,guanto
stampante,contadino,inghiottire,sulla faccia della terra,siepe
dvd,gorilla,unire,pollice verde,ponte
sdraio,arena di verona,dormire,acqua minerale,fucile
davanzale,pirata,colorare,divertirsi un mondo,coda
carro armato,cocker,stendere,prendere la palla al balzo,cilindro
albero genealogico,campanaro,dirigere,asso nella manica,cima
quaderno,monte everest,sciogliere,nido d'ape,amicizia
frullatore,comune,cuocere,panico da palcoscenico,terra
air bag,il castello di dracula,aggrottare le ciglia,negozio dell'usato,fegato
ponte,medusa,imboccare,colpo di fulmine,e.t.
croissant,nonno,digitare,golf club,tramonto
grembiule,mago,imbiancare,ridere sotto i baffi,rapina
remo,batterista,strattonare,il troppo stroppia,euro
boccaglio,foresta nera,svestirsi,sidare sette camicie,firma
occhiali da sole,calamaro,remare,pane e prosciutto,sfilata
cartello stradale,soldato,correre,pizza d'asporto,moto
catena,pesce martello,trapanare,attaccare bottone,limone
paraocchi,sposo,telefonare,ultima ruota del carro,treccia
biliardo,pesciolino rosso,mangiare,sangue blu,paura
canna da pesca,arciere,scavare,mal d'auto,spaventapasseri
freccia,parrucchiere,annuire,cocktail di gamberetti,mongolfiera
panchina,attrice,rifiutare,sano come un pesce,orecchio
ponte levatorio,corvo,ululare,scheletro nell'armadio,insonnia
zuppa di piselli,falco,prendere al lazo,nuotare a dorso,salita
orologio,surfista,esultare,calcio di rigore,nazione
linea del traguardo,superman,avvistare,dalla padella alla brace,tuorlo
bassa marea,maestra,friggere,dolcetto o scherzetto,tango
jeans,ostetrica,sogghignare,tavola rotonda,gara
macete,gobbo di notre dame,strappare,un piede in due scarpe,metropolitana
termometro,italia,ingrassare,spazzacamino,alba
forno a microonde,giocatore di golf,disegnare,abito da sera,caviglia
coltello,criceto,viaggiare,acqua e sapone,duello
palla da beach volley,cacciatore,grigliare,andare a gonfie vele,gonna
tronco,principe,scegliere,testa tra le nuvole,dollaro
mestolo,castoro,allungare,tagliare la corda,nascondino
tatuaggio,giornalaio,evitare,tirare le orecchie,granello
piscina gonfiabile,stella di mare,dondolare,via lattea,pane
leva,gamberetto,sanguinare,peso piuma,drago
